"Timestamp","what college at NEU are you in? ","what is your major? ","what year are you in? ","how many times have you been on co-op","what working conditions did you have at your co-op

*if you had more than 1 co-op, use your most enjoyable or most recent co-op experience! ","what industry did you work in? ","if you worked in person would you have liked to work remotely? ","if you worked remotely would you have liked to work in-person","how many days during the work week did you work remotely? ","how many days during the work week did you work in person? ","how would you honestly rate your productivity working in person","how would you honestly rate your productivity working remotely from home","how satisfied were you working in person?","how satisfied were you working remotely?","how much would you satisfaction have improved if you worked remotely? ","how much would you satisfaction have improved if you worked in person? ","did your employer urge you to work remotely? ","did your employer urge you to work in person?","what percentage of your company worked fully remotely","when looking for employment opportunities in the future what do you prioritize?"
"2024/03/26 3:27:45 PM AST","college of science","Biochemistry","4th","1","inperson","tech","maybe","not applicable (worked in person already)","0","5","4","3","2","4","5","2","5","3","< 50","hybrid"
"2024/03/26 3:28:30 PM AST","khoury college of computer sciences","CS + Business","3rd","2","hybrid","tech","not applicable (worked remotely)","not applicable (worked in person already)","4","1","5","4","5","5","0","0","2","4","< 50","hybrid"
"2024/03/26 3:29:41 PM AST","khoury college of computer sciences","data science ","4th","2","remote","tech","not applicable (worked remotely)","maybe","5","0","3","5","0","5","5","1","5","2","< 50","remote"
"2024/03/26 4:02:25 PM AST","d'amore-mckim school of business","data science and business admin","2nd","1","hybrid","tech","maybe","maybe","3","3","4","2","4","3","3","3","4","2","70","hybrid"
"2024/03/26 4:04:35 PM AST","college of science","","3rd","1","inperson","health care","no","not applicable (worked in person already)","0","5","4","0","5","0","0","0","5","1","< 50","hybrid"
"2024/03/26 4:07:03 PM AST","d'amore-mckim school of business","Finance","3rd","1","inperson;hybrid","finance and economic","yes","no","2","4","3","4","3","4","3","2","4","2","< 50","no preference!"
"2024/03/26 4:08:07 PM AST","khoury college of computer sciences","Computer Science and Math","3rd","2","hybrid","tech","maybe","not applicable (worked in person already)","2","3","4","2","3","5","4","3","4","4","< 50","no preference!"
"2024/03/26 4:09:09 PM AST","khoury college of computer sciences","Data science","4th","2","remote","tech","not applicable (worked remotely)","maybe","5","0","2","4","0","3","2","1","1","5","90","remote"
"2024/03/26 4:11:58 PM AST","college of engineering","bioengineering","5th","3","remote","health care","not applicable (worked remotely)","no","5","0","5","4","0","5","5","3","1","5","60","hybrid"
"2024/03/26 4:13:46 PM AST","college of arts, media and design","Interaction Design & Marketing Combined","5th","1","remote","media and news","not applicable (worked remotely)","yes","5","0","4","3","0","4","0","4","1","5","100","hybrid"
"2024/03/26 4:18:02 PM AST","d'amore-mckim school of business","marketing","5th","2","hybrid","consulting","not applicable (worked remotely)","not applicable (worked in person already)","4","1","5","2","5","2","3","3","5","3","< 50","hybrid"
"2024/03/26 4:25:23 PM AST","bouve college of health sciences","pharmacy","4th","3","inperson","health care","yes","not applicable (worked in person already)","0","5","5","4","3","0","4","3","5","1","< 50","hybrid"
"2024/03/26 4:25:38 PM AST","d'amore-mckim school of business","Finance","Alumni","3","remote","finance and economic","maybe","maybe","5","0","4","2","3","3","3","3","4","4","100","no preference!"
"2024/03/26 4:27:02 PM AST","d'amore-mckim school of business","Business Administration ","3rd","1","hybrid","tech","yes","maybe","1","4","4","3","4","4","4","4","3","4","< 50","hybrid"
"2024/03/26 4:33:12 PM AST","khoury college of computer sciences","Computer Science","graduated","2","hybrid","tech","not applicable (worked remotely)","no","4","1","3","3","2","4","4","2","2","4","70","hybrid"
"2024/03/26 4:36:18 PM AST","bouve college of health sciences","Pharmacy","5th","3","inperson","health care","yes","not applicable (worked in person already)","0","5","4","3","3","0","4","3","5","1","< 50","hybrid"
"2024/03/26 4:36:38 PM AST","khoury college of computer sciences","","5th","2","remote","health care","not applicable (worked remotely)","not applicable (worked in person already)","2","3","4","3","3","3","1","0","4","4","< 50","no preference!"
"2024/03/26 4:38:41 PM AST","d'amore-mckim school of business","Business Management/analytics","3rd","1","hybrid","transportation","not applicable (worked remotely)","not applicable (worked in person already)","2","4","5","4","4","4","","","4","2","< 50","hybrid"
"2024/03/26 5:02:22 PM AST","d'amore-mckim school of business","Supply chain","2nd","0","hybrid","health care","maybe","maybe","4","1","2","2","2","4","5","2","3","3","70","no preference!"
"2024/03/26 5:07:57 PM AST","d'amore-mckim school of business","Combined Business and Comm","4th","3","hybrid","finance and economic","yes","maybe","2","2","5","3","4","4","3","3","3","4","< 50","hybrid"
"2024/03/26 5:36:55 PM AST","khoury college of computer sciences","Computer Science and Cognitive Psychology","4th","2","hybrid","tech","yes","yes","4","1","2","3","4","4","4","4","4","3","70","hybrid"
"2024/03/26 5:54:27 PM AST","d'amore-mckim school of business","Data Science and Business ","3rd","0","remote","banking","no","maybe","4","3","1","2","4","1","4","2","2","1","60","remote"
"2024/03/26 5:56:32 PM AST","khoury college of computer sciences","Computer Science","3rd","1","hybrid","tech","maybe","maybe","2","3","4","3","4","3","2","3","3","3","60","hybrid"
"2024/03/26 6:18:06 PM AST","d'amore-mckim school of business","Econ and Business","4th","2","hybrid","tech","no","yes","2","3","5","1","5","2","0","5","4","2","< 50","hybrid"
"2024/03/26 6:24:04 PM AST","d'amore-mckim school of business","Business Administration: finance and marketing analytics","4th","2","hybrid","finance and economic","not applicable (worked remotely)","not applicable (worked in person already)","3","3","4","3","4","4","3","3","3","2","< 50","hybrid"
"2024/03/26 6:37:43 PM AST","college of engineering","computer engineering","5th","2","remote","tech","yes","no","5","0","4","4","0","5","5","0","1","5","80","remote"
"2024/03/26 7:36:16 PM AST","khoury college of computer sciences","Computer science","3rd","2","hybrid","tech","no","yes","2","3","5","2","5","3","2","4","3","5","< 50","hybrid"
"2024/03/26 7:59:21 PM AST","d'amore-mckim school of business","business administration","3rd","1","hybrid","finance and economic","yes","not applicable (worked in person already)","3","2","5","5","3","5","5","0","3","3","80","hybrid"
"2024/03/26 9:08:59 PM AST","khoury college of computer sciences","Cs","Graduated","1","remote","tech","not applicable (worked remotely)","no","5","0","3","2","0","4","2","1","1","5","100","hybrid"
"2024/03/26 10:39:23 PM AST","khoury college of computer sciences","Computer Science","Graduated","2","hybrid","tech","yes","yes","3","3","4","3","3","4","4","3","3","3","80","hybrid"
"2024/03/26 11:53:18 PM AST","college of engineering","bioengineering","5th","1","hybrid","engineering","yes","yes","2","3","4","3","4","4","4","4","4","3","60","hybrid"
"2024/03/27 8:42:55 AM AST","college of engineering","Mechanical engineering ","5th","3","inperson","tech","yes","not applicable (worked in person already)","2","3","5","3","4","4","3","3","3","3","70","hybrid"
"2024/03/27 11:46:51 AM AST","khoury college of computer sciences","cs and business","3rd","1","hybrid","tech","not applicable (worked remotely)","not applicable (worked in person already)","2","3","4","3","3","4","1","1","3","3","< 50","hybrid"
"2024/03/27 12:38:05 PM AST","d'amore-mckim school of business","Finance","5th","2","remote","finance and economic","not applicable (worked remotely)","yes","5","0","4","0","0","3","0","5","1","5","100","hybrid"
"2024/03/28 10:04:53 AM AST","d'amore-mckim school of business","marketing analytics","5th","3","hybrid","tech","yes","no","4","1","3","3","2","5","5","1","3","3","80","remote"
"2024/03/28 10:11:52 AM AST","d'amore-mckim school of business","Finance","3rd","2","hybrid","finance and economic","maybe","no","2","3","5","1","4","5","2","2","3","3","< 50","hybrid"
"2024/03/28 1:16:28 PM AST","d'amore-mckim school of business","","4th","2","hybrid","finance and economic","not applicable (worked remotely)","yes","2","3","5","2","4","4","4","3","4","3","80","hybrid"
"2024/03/28 2:48:57 PM AST","bouve college of health sciences","health sciences ","4th","2","inperson","health care","yes","not applicable (worked in person already)","0","5","5","3","5","0","2","","5","1","< 50","in person"
"2024/03/28 4:53:02 PM AST","d'amore-mckim school of business","business admini ","3rd","0","inperson","finance and economic","maybe","yes","4","4","4","2","2","2","1","5","5","4","100","in person"
"2024/03/28 4:53:13 PM AST","d'amore-mckim school of business","Marketing Analytics","3rd","1","hybrid","energy","not applicable (worked remotely)","yes","4","1","5","4","4","5","5","5","3","4","70","hybrid"
"2024/03/28 9:12:20 PM AST","d'amore-mckim school of business","Business Administration - Finance and Accounting","5th","2","hybrid","finance and economic","no","not applicable (worked in person already)","2","3","4","2","4","3","2","4","3","4","< 50","hybrid"
"2024/03/29 3:28:05 PM AST","khoury college of computer sciences","computer science","3rd","2","hybrid","tech","no","yes","3","2","4","3","4","3","3","2","5","5","70","hybrid"
"2024/03/29 3:34:01 PM AST","khoury college of computer sciences","CS","3rd","1","hybrid","tech","maybe","maybe","2","3","2","0","0","2","2","1","4","4","< 50","no preference!"
"2024/03/29 4:47:20 PM AST","khoury college of computer sciences","Computer Science","3rd","1","hybrid","tech","maybe","maybe","2","3","3","1","3","1","3","3","4","1","< 50","hybrid"
"2024/03/29 4:47:37 PM AST","d'amore-mckim school of business","Business administration ","4th","2","hybrid","finance and economic","not applicable (worked remotely)","not applicable (worked in person already)","2","3","5","2","5","4","3","5","3","5","< 50","hybrid"
"2024/03/29 4:48:26 PM AST","college of science","math","4th","1","hybrid","tax","yes","maybe","4","1","5","3","4","5","5","3","2","4","80","in person"
"2024/03/29 4:48:54 PM AST","khoury college of computer sciences","Data science and business","4th","2","hybrid","retail","yes","yes","3","2","5","1","4","3","3","3","4","2","< 50","hybrid"
"2024/03/29 4:52:10 PM AST","college of engineering","Computer Engineering ","3rd","1","inperson","tech","yes","no","0","5","4","0","4","3","3","0","5","1","< 50","hybrid"
"2024/03/29 4:52:36 PM AST","d'amore-mckim school of business","Business Admin","4th","2","hybrid","finance and consulting","maybe","maybe","2","3","3","2","3","3","2","1","5","3","60","hybrid"
"2024/03/29 5:27:05 PM AST","khoury college of computer sciences","comp sci","2nd","1","hybrid","insurance","maybe","yes","4","1","2","4","3","5","5","3","3","3","90","no preference!"
"2024/03/29 11:24:30 PM AST","d'amore-mckim school of business","Finance","4th","1","hybrid","finance and economic","yes","maybe","2","3","5","4","4","5","5","4","3","2","< 50","hybrid"
"2024/04/01 12:17:31 PM AST","khoury college of computer sciences","Computer Science","5th","3","hybrid","tech","yes","not applicable (worked in person already)","2","3","3","2","2","4","3","1","5","2","< 50","hybrid"
"2024/04/01 12:43:01 PM AST","college of engineering","","5th","3","inperson","tech","yes","","0","5","3","4","2","0","5","0","5","","",""
"2024/04/01 1:50:46 PM AST","khoury college of computer sciences","MSAI","Masters","0","remote","N/A","not applicable (worked remotely)","not applicable (worked in person already)","0","0","0","0","0","0","0","0","3","3","< 50","no preference!"
"2024/04/01 3:30:09 PM AST","khoury college of computer sciences","Computer Science","Alumnus","1","inperson","health care","yes","no","0","5","4","3","4","0","3","3","5","1","< 50","hybrid"
"2024/04/01 9:43:56 PM AST","khoury college of computer sciences","Computer Science","3rd","2","hybrid","tech","","","3","2","4","2","5","3","0","0","5","5","60","hybrid"
"2024/04/02 10:19:38 AM AST","d'amore-mckim school of business","Business Management ","4th","2","hybrid","retail","","","2","3","4","5","4","5","4","1","","5","< 50","no preference!"
"2024/04/02 11:19:14 AM AST","khoury college of computer sciences","Computer Science + Theatre","3rd","1","hybrid","energy","not applicable (worked remotely)","not applicable (worked in person already)","3","2","4","2","5","5","0","5","1","1","< 50","hybrid"
"2024/04/04 1:08:20 PM AST","d'amore-mckim school of business","Business Admic","3rd","1","hybrid","Social entrepreneurship","maybe","maybe","2","3","4","3","4","4","4","4","3","3","70","hybrid"